shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
3,40.739462,-74.155694,31,5.0601213170836
3,40.738693,-74.157311,32,5.1600617559613
3,40.737901,-74.158780,33,5.2544439458695
3,40.736340,-74.161117,34,5.4175366683399
3,40.734537,-74.163756,35,5.6035597048029
4,40.735886,-74.029208,0,0
4,40.735006,-74.029395,1,0.061582319945851
4,40.734348,-74.029546,2,0.10772571234473
4,40.733959,-74.029616,3,0.13485047147493
4,40.733755,-74.029611,4,0.1489473066646
4,40.733432,-74.029576,5,0.17133853261958
4,40.733110,-74.029494,6,0.19399584602226
4,40.732619,-74.029326,7,0.22904070966293
4,40.732512,-74.029234,8,0.237863983431
4,40.732392,-74.029088,9,0.24914057530963
4,40.732290,-74.028861,10,0.26295706488751
4,40.732225,-74.028513,11,0.28172149241642
4,40.732017,-74.027352,12,0.34418046472827
4,40.731790,-74.024167,13,0.51166518289846
4,40.731651,-74.022283,14,0.61076757673312
4,40.731715,-74.018199,15,0.8246293897265
4,40.731854,-74.015851,16,0.94793229588788
4,40.732044,-74.013174,17,1.0886983629448
4,40.732521,-74.009464,18,1.2857081051903
4,40.732957,-74.007072,19,1.4145102652808
4,40.732952,-74.007061,20,1.4151776295068
4,40.733125,-74.005930,21,1.4755838274153
4,40.733413,-74.004093,22,1.5737937421903
4,40.733839,-74.001204,23,1.727878819675
4,40.734072,-73.999547,24,1.8161084024701
4,40.734183,-73.999135,25,1.8390005367056
4,40.734244,-73.999110,26,1.8434131593642
4,40.737345,-73.996844,27,2.0883108540724
4,40.742890,-73.992803,28,2.5259374699167
4,40.749102,-73.988256,29,3.0167001011838
5,40.749111,-73.988276,0,0
5,40.742890,-73.992803,1,0.49080022084782
5,40.737345,-73.996844,2,0.9284268366922
5,40.734244,-73.999110,3,1.1733245314004
5,40.734228,-73.999114,4,1.1744499358544
5,40.734179,-73.999146,5,1.1782274214981
5,40.734070,-73.999537,6,1.2000386594442
5,40.733839,-74.001189,7,1.2879856984155
5,40.733596,-74.002847,8,1.3763956582101
5,40.732946,-74.007069,9,1.6019473815546
5,40.732957,-74.007072,10,1.6027209917083
5,40.732639,-74.008638,11,1.6875996882363
5,40.732297,-74.011037,12,1.815400182563
5,40.732026,-74.013335,13,1.93715835201
5,40.731725,-74.017805,14,2.17210483181
5,40.731666,-74.021147,15,2.3471212790326
5,40.731642,-74.022234,16,2.4040549186871
5,40.732022,-74.027358,17,2.6736008325869
5,40.732287,-74.028822,18,2.7524037863473
5,40.732370,-74.029064,19,2.7663107665436
5,40.732535,-74.029251,20,2.7813375802502
5,40.732659,-74.029344,21,2.79119144808
5,40.732901,-74.029446,22,2.8087432937481
5,40.733179,-74.029516,23,2.8282968235647
5,40.733551,-74.029578,24,2.8542024907351
5,40.733793,-74.029625,25,2.8711024068228
5,40.733970,-74.029617,26,2.8833385235376
5,40.735884,-74.029220,27,3.0172000898134
6,40.749111,-73.988276,0,0
6,40.742890,-73.992803,1,0.49080022084782
6,40.737345,-73.996844,2,0.9284268366922
6,40.734244,-73.999110,3,1.1733245314004
6,40.734228,-73.999114,4,1.1744499358544
6,40.734179,-73.999146,5,1.1782274214981
6,40.734070,-73.999537,6,1.2000386594442
6,40.733839,-74.001189,7,1.2879856984155
6,40.733596,-74.002847,8,1.3763956582101
6,40.732946,-74.007069,9,1.6019473815546
6,40.732950,-74.007070,10,1.6022302743296
6,40.732870,-74.007520,11,1.6264291303067
6,40.732440,-74.010037,12,1.7615111033137
6,40.732042,-74.013119,13,1.9251928514596
6,40.731706,-74.017895,14,2.1763129043889
6,40.731657,-74.022248,15,2.4042375426443
6,40.732014,-74.027340,16,2.6719650485567
6,40.731953,-74.028839,17,2.7505573252768
6,40.731861,-74.029253,18,2.7731448871448
6,40.731646,-74.029719,19,2.801708470705
6,40.731202,-74.030385,20,2.8481499607192
6,40.729743,-74.031848,21,2.9747520117282
6,40.728463,-74.033009,22,3.0820633699725
6,40.727093,-74.033788,23,3.1851303357062
6,40.726620,-74.033890,24,3.2182433996042
6,40.727000,-74.033821,25,3.2447450130293
6,40.724932,-74.034214,26,3.3890972772704
6,40.720369,-74.035033,27,3.7072583273953
6,40.717318,-74.035609,28,3.9201988953278
6,40.717533,-74.036509,29,3.9696136421789
6,40.717749,-74.037274,30,4.0123628172541
6,40.719187,-74.041963,31,4.277240702721
6,40.719669,-74.042444,32,4.3189944896576
6,40.719314,-74.042392,33,4.343672165715
6,40.719528,-74.043082,34,4.3827115914845
6,40.720585,-74.046403,35,4.5713230814624
6,40.722060,-74.050976,36,4.8315609972021
6,40.722733,-74.053320,37,4.9628096587826
6,40.723020,-74.053867,38,4.9976454960634
6,40.723671,-74.054726,39,5.0612538813418
6,40.724281,-74.055468,40,5.1185744081543
6,40.725069,-74.055990,41,5.1794929307532
6,40.725767,-74.056432,42,5.2329834133156
6,40.726035,-74.056480,43,5.251669239228
6,40.726440,-74.056594,44,5.2802802306523
6,40.727055,-74.056978,45,5.3272873097179
6,40.728096,-74.058140,46,5.4214911024288
6,40.728887,-74.059040,47,5.4936511371882
6,40.729627,-74.059861,48,5.5604464495585
6,40.730053,-74.060339,49,5.5990802425633
6,40.730835,-74.061241,50,5.6708384335627
6,40.731173,-74.061650,51,5.7025222596341
6,40.731963,-74.062589,52,5.7759790677723
6,40.732331,-74.063049,53,5.8109993989873
7,40.749111,-73.988276,0,0
7,40.742890,-73.992803,1,0.49080022084782
7,40.737345,-73.996844,2,0.9284268366922
7,40.734244,-73.999110,3,1.1733245314004
7,40.734228,-73.999114,4,1.1744499358544
7,40.734179,-73.999146,5,1.1782274214981
7,40.734070,-73.999537,6,1.2000386594442
7,40.733839,-74.001189,7,1.2879856984155
7,40.733596,-74.002847,8,1.3763956582101
7,40.732946,-74.007069,9,1.6019473815546
7,40.732957,-74.007072,10,1.6027209917083
7,40.732639,-74.008638,11,1.6875996882363
7,40.732297,-74.011037,12,1.815400182563
7,40.732026,-74.013335,13,1.93715835201
7,40.731725,-74.017805,14,2.17210483181
7,40.731666,-74.021147,15,2.3471212790326
7,40.731642,-74.022234,16,2.4040549186871
7,40.732022,-74.027358,17,2.6736008325869
7,40.732287,-74.028822,18,2.7524037863473
7,40.732370,-74.029064,19,2.7663107665436
7,40.732535,-74.029251,20,2.7813375802502
7,40.732659,-74.029344,21,2.79119144808
7,40.732901,-74.029446,22,2.8087432937481
7,40.733179,-74.029516,23,2.8282968235647
7,40.733551,-74.029578,24,2.8542024907351
7,40.733793,-74.029625,25,2.8711024068228
7,40.733970,-74.029617,26,2.8833385235376
7,40.735884,-74.029220,27,3.0172000898134
7,40.735873,-74.029219,28,3.0179646515839
7,40.732331,-74.031045,29,3.2806905498265
7,40.727990,-74.033300,30,3.6030110737074
7,40.727055,-74.033811,31,3.6729315360102
