trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
36167A745B1674,10:56:00,10:56:00,26731,3,"",0,0,5.5819106855975
36168A745B1674,21:30:00,21:30:00,26733,1,"",0,0,0
36168A745B1674,21:32:00,21:32:00,26729,2,"",0,0,0.53805416580964
36168A745B1674,21:41:00,21:41:00,26731,3,"",0,0,5.5819106855975
36169A745B1674,12:15:00,12:15:00,26733,1,"",0,0,0
36169A745B1674,12:17:00,12:17:00,26729,2,"",0,0,0.53805416580964
36169A745B1674,12:26:00,12:26:00,26731,3,"",0,0,5.5819106855975
36170A745B1674,22:45:00,22:45:00,26733,1,"",0,0,0
36170A745B1674,22:47:00,22:47:00,26729,2,"",0,0,0.53805416580964
36170A745B1674,22:56:00,22:56:00,26731,3,"",0,0,5.5819106855975
36171A745B1674,13:30:00,13:30:00,26733,1,"",0,0,0
36171A745B1674,13:32:00,13:32:00,26729,2,"",0,0,0.53805416580964
36171A745B1674,13:41:00,13:41:00,26731,3,"",0,0,5.5819106855975
36172A745B1674,00:30:00,00:30:00,26733,1,"",0,0,0
36172A745B1674,00:32:00,00:32:00,26729,2,"",0,0,0.53805416580964
36172A745B1674,00:41:00,00:41:00,26731,3,"",0,0,5.5819106855975
36173A745B1674,14:45:00,14:45:00,26733,1,"",0,0,0
36173A745B1674,14:47:00,14:47:00,26729,2,"",0,0,0.53805416580964
36173A745B1674,14:56:00,14:56:00,26731,3,"",0,0,5.5819106855975
36174A745B1674,03:25:00,03:25:00,26733,1,"",0,0,0
36174A745B1674,03:27:00,03:27:00,26729,2,"",0,0,0.53805416580964
36174A745B1674,03:36:00,03:36:00,26731,3,"",0,0,5.5819106855975
36175A745B1674,16:00:00,16:00:00,26733,1,"",0,0,0
36175A745B1674,16:02:00,16:02:00,26729,2,"",0,0,0.53805416580964
36175A745B1674,16:11:00,16:11:00,26731,3,"",0,0,5.5819106855975
36176A745B1674,05:56:00,05:56:00,26733,1,"",0,0,0
36176A745B1674,05:58:00,05:58:00,26729,2,"",0,0,0.53805416580964
36176A745B1674,06:07:00,06:07:00,26731,3,"",0,0,5.5819106855975
36177A745B1674,17:15:00,17:15:00,26733,1,"",0,0,0
36177A745B1674,17:17:00,17:17:00,26729,2,"",0,0,0.53805416580964
36177A745B1674,17:26:00,17:26:00,26731,3,"",0,0,5.5819106855975
36178A745B1674,07:45:00,07:45:00,26733,1,"",0,0,0
36178A745B1674,07:47:00,07:47:00,26729,2,"",0,0,0.53805416580964
36178A745B1674,07:56:00,07:56:00,26731,3,"",0,0,5.5819106855975
36179A745B1674,18:30:00,18:30:00,26733,1,"",0,0,0
36179A745B1674,18:32:00,18:32:00,26729,2,"",0,0,0.53805416580964
36179A745B1674,18:41:00,18:41:00,26731,3,"",0,0,5.5819106855975
36180A745B1674,09:00:00,09:00:00,26733,1,"",0,0,0
36180A745B1674,09:02:00,09:02:00,26729,2,"",0,0,0.53805416580964
36180A745B1674,09:11:00,09:11:00,26731,3,"",0,0,5.5819106855975
36181A745B1674,19:45:00,19:45:00,26733,1,"",0,0,0
36181A745B1674,19:47:00,19:47:00,26729,2,"",0,0,0.53805416580964
36181A745B1674,19:56:00,19:56:00,26731,3,"",0,0,5.5819106855975
36182A745B1674,10:15:00,10:15:00,26733,1,"",0,0,0
36182A745B1674,10:17:00,10:17:00,26729,2,"",0,0,0.53805416580964
36182A745B1674,10:26:00,10:26:00,26731,3,"",0,0,5.5819106855975
36183A745B1674,21:00:00,21:00:00,26733,1,"",0,0,0
36183A745B1674,21:02:00,21:02:00,26729,2,"",0,0,0.53805416580964
36183A745B1674,21:11:00,21:11:00,26731,3,"",0,0,5.5819106855975
36184A745B1674,11:30:00,11:30:00,26733,1,"",0,0,0
36184A745B1674,11:32:00,11:32:00,26729,2,"",0,0,0.53805416580964
36184A745B1674,11:41:00,11:41:00,26731,3,"",0,0,5.5819106855975
36185A745B1674,22:00:00,22:00:00,26733,1,"",0,0,0
36185A745B1674,22:02:00,22:02:00,26729,2,"",0,0,0.53805416580964
36185A745B1674,22:11:00,22:11:00,26731,3,"",0,0,5.5819106855975
36186A745B1674,13:00:00,13:00:00,26733,1,"",0,0,0
36186A745B1674,13:02:00,13:02:00,26729,2,"",0,0,0.53805416580964
36186A745B1674,13:11:00,13:11:00,26731,3,"",0,0,5.5819106855975
36187A745B1674,23:30:00,23:30:00,26733,1,"",0,0,0
